Issued by Organization,Issued for Organization,Title,Opportunity ID,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor Address,Award Total,Date Awarded
Procurement Services Branch ,Ministry of Agriculture and Food,Req 41106 - SeqStudio 8 Flex - Sanger Sequencer,5132428,Invitation to Quote,2024-02-07,0,2024-02-07,Life Technologies Inc.,"5250 Mainway, Burlington, Ontario","$253,029.93",2024-02-08
BC Timber Sales Branch ,Cariboo-Chilcotin ,"Road Construction - Hen Ingram, Br. 07 Forest Service Road - Williams Lake Timber Supply Area",EN24TLA021,Invitation to Tender,2023-12-21,3,2024-01-25,Way Out West Contracting Ltd.,"2950 Belcarra Rd, Quesnel, British Columbia","$269,633.30",2024-02-09
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,Hwy 3 Roosville to JCT of Hwy 3 Seal Coat (73.10 Lane Km),26371MJ0000,Invitation to Tender,2024-01-04,1,2024-01-31,Arrowsmith Road Maintenance Ltd.,"840 Industrial Way, Victoria, British Columbia","$2,987,544.00",2024-02-09
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 41108 AIR QUALITY DATALOGGERS - UNOx45 FANLESS INDUSTRIAL MINI,5131571,Invitation to Quote,2024-02-06,0,2024-02-06,"DR DAS, LTD.","194 Clouse Ln, Granville, Ohio ","$28,578.64",2024-02-09
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Review of B.C. Industrial Wood Waste Practices,187052,Request for Proposal,2024-01-15,0,2024-01-30,Canadian Biomass Energy Research,,"$64,925.00",2024-02-12
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Freight Railway Specialist,RFP-FRS-231031,Request for Proposal,2023-10-31,5,2023-11-28,Mott MacDonald,,"$500,000.00",2024-02-12
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,As and When Freight Railway Specialist,RFP-FRS-231031,Request for Proposal,2023-10-31,5,2023-11-28,HDR Corporation,4C-940 Blanshard Street,"$500,000.00",2024-02-12
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,Asphalt Resurfacing Hwy 97 Lynes Pit to Cody Intermittent and Area Side Roads (83 Lane Kms),26106MJ0000,Invitation to Tender,2023-12-21,2,2024-01-30,Key-West Asphalt (332) Ltd.,"31244 South Fraser Way, Abbotsford, British Columbia","$16,413,768.93",2024-02-12
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,Yellowhead Highway No. 5 Badger CVSE Pullout,26150MJ0001,Invitation to Tender,2023-12-22,1,2024-01-25,Civil North Consulting Ltd.,"2912 Vista Ridge Dr, CPG, British Columbia","$2,156,554.13",2024-02-12
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Bike Registration & Anti-Theft Program,NOI  - 5506503-7,Direct Award,entered 2024-02-27,,    ,Project 529 Inc,"Unit #105, 424 W. Bakerview Road, Bellingham, Washington, USA  98226","$225,000.00",2024-02-13
Ministry of Transportation and Infrastructure,Rehabilitation and Maintenance ,Fairness Advisor,RFP-CMB20231107,Request for Proposal,2023-11-07,0,2023-11-21,Optimus SBR,"33 Yonge Street, Suite 900, Toronto, Ontario","$500,000.00",2024-02-13
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 41107 LABORATORY OVEN - FO 19440 14.5 CU FT FORCED AIR OVEN,5132429,Invitation to Quote,2024-02-05,0,2024-02-05,Across International LLC,"600 Spice Islands Dr, Sparks, Nevada ","$10,534.69",2024-02-13
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 41078 Fire Rings,5132340,Invitation to Quote,2024-01-19,0,2024-01-30,Bison Industrial LTD,"Po Box 153,  Irricana, Alberta","$19,670.00",2024-02-13
Procurement Services Branch ,"Ministry of Water, Land and Resource Stewardship",Req 59348 WILDLIFE PASSIVE ACOUSTIC MONITORING EQUIPMENT,5126460,Invitation to Quote,2024-02-02,0,2024-02-02,Wildlife Acoustics Inc.,,"$69,520.17",2024-02-13
BC Timber Sales Branch ,Cariboo-Chilcotin ,AA25TLH002A  Archaeological Assessments – Various Locations - Quesnel and Cascadia Timber Supply Area,AA25TLH002A,Invitation to Tender,2024-01-16,1,2024-01-30,Ridgeline Archaeology,"646 Peardon Rd, Prince George, British Columbia","$990,500.00",2024-02-14
BC Timber Sales Branch ,Chinook ,PL25TBS002 Tree Planting Chilliwack & Sea to Sky Natural Resource Districts,PL25TBS002,Invitation to Tender,2023-12-14,0,2024-01-17,Fieldstone Resources LTD,"PO Box 45059 Dunbar, Vancouver, British Columbia","$816,787.72",2024-02-14
BC Timber Sales Branch ,Prince George ,SU25TGC001 - Silviculture Survey Contract,SU25TGC001,Invitation to Tender,2023-12-11,2,2024-01-16,Strategic Natural Resource Consultants,"Ironwood St 301-1180 , Campbell River, British Columbia","$55,954.66",2024-02-14
Ministry of Environment and Climate Change Strategy,BC Parks - Provincial Services Branch ,Cultus Lake Park Parking Lot Assessments and Upgrades,186973,Request for Proposal,2023-12-21,1,2024-01-26,ISL Engineering and Land Services Ltd.,"8506 200 St, Langley, British Columbia","$99,904.00",2024-02-14
Procurement Services Branch ,"Ministry of Water, Land and Resource Stewardship",Req 59623 130 sets of NX 5700K mobile radios with Bluetooth programming,5132413,Invitation to Quote,2024-02-02,0,2024-02-13,JVCKenwood Canada Inc.,"6685 Millcreek Dr - Unit 8, Mississauga, Ontario","$86,533.20",2024-02-14
Ministry of Health,Ministry of Health,Clinical Evidence Review,RFPHL2024-005,Request for Proposal,2023-06-26,0,2023-07-24,Focus Drug Reviewers ,"18 Maxwell Avenue, Toronto, Ontario","$400,000.00",2024-02-15
Procurement Services Branch ,Ministry of Agriculture and Food,Req 40967 - Transfer Station for ST5010 with Mounting kit.,5125335,Invitation to Quote,2024-02-12,0,2024-02-12,Leica Microsystems (Canada) Inc.,"71 Four Valley Dr, Vaughan, Ontario","$32,220.32",2024-02-15
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 41092 4 urine diversion toilet systems,5131510,Invitation to Quote,2024-01-30,0,2024-02-13,Toilet Tech Waste Management Inc. ,"1450 Vine Rd, Pemberton, British Columbia","$22,400.00",2024-02-15
Procurement Services Branch ,Ministry of Forests,Req 59678  -  MANITOU SNOW BLADE,5131627,Invitation to Quote,2024-01-31,0,2024-02-12,Leavitt Machinery Canada Inc. EH,"19433 96 Ave - Unit 102, Surrey, British Columbia","$15,300.00",2024-02-15
Liquor Distribution Branch,Liquor Distribution Branch,GL Wand License Purchase and Annual Support Renewal,NOI2023-12-04,Notice of Intent (BPS),2023-11-23,0,2023-12-04,Insightsoftware LLC,"Suite 300, Raleigh, NC 27615
United States","$93,724.66",2024-02-16
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Recreation Site Partnershhip Agreement and Site Operator,186468,Request for Proposal,2023-12-11,2,2024-02-16,F. H. Forestry Ltd.,777 Thacker Road Hope BC,$0.00,2024-02-16
Ministry of Environment and Climate Change Strategy,Recreation Sites and Trails Branch,Site Operator at Wadey Recreation Site,RFP - PA24-DCO-013,Request for Proposal,2024-01-19,2,2024-02-15,Isaac Starling,", Revelstoke, British Columbia","$25,000.00",2024-02-16
Procurement Services Branch ,Ministry of Forests,Req 59902 Btk (Foray 48B; biological insecticide),5134579,Invitation to Quote,2024-02-15,0,2024-02-15,VALENT CANADA INC.,"1845 chemin du Fleuve,, Levis,, Québec","$1,586,000.00",2024-02-16
Procurement Services Branch ,BC Timber Sales Branch , Req 59006 FORKLIFT,189193,Invitation to Quote,2024-02-15,0,2024-02-15,Leavitt Machinery Canada Inc. EH,"19433 96 Ave - Unit 102, Surrey, British Columbia","$86,784.00",2024-02-20
Procurement Services Branch ,Ministry of Transportation and Infrastructure,Req 236 - Radio Repeater Circuit Boards ver. 2024,189357,Invitation to Quote,2024-02-20,0,2024-02-20,Surtek Industries Inc.,"4-13018 84 Ave, Surrey, British Columbia","$16,335.00",2024-02-20
Procurement Services Branch ,Ministry of Transportation and Infrastructure,Req 237 - Radio Repeater Site Controllers Version 2,189375,Invitation to Quote,2024-02-20,0,2024-02-20,Surtek Industries Inc.,"4-13018 84 Ave, Surrey, British Columbia","$28,547.50",2024-02-20
Ministry of Transportation and Infrastructure,South Coast Regional Office ,Asphalt Resurfacing Hwy 1 Hoffman's Bluff to Little River Intermittent (42.0 Lane Km),26366MJ0000,Invitation to Tender,2024-01-23,0,2024-02-06,Dawson Construction Limited,"1212 McGill Road, Kamloops, British Columbia","$6,799,007.06",2024-02-21
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,Highway 95 - Kicking Horse River Bridge 1 and 2 Replacement and Approaches,26379MJ0000,Invitation to Tender,2023-12-21,4,2024-02-08,Copcan Civil Limited Partnership,"1920 Balsam Rd, Nanaimo, British Columbia","$45,247,879.00",2024-02-21
Procurement Services Branch ,BC Timber Sales Branch ,"Req 59509 - Fabrication, delivery, and storage of 5 ASP bridges for Williams Lake",5132358,Invitation to Quote,2024-01-26,1,2024-02-09,Mike Harasin,"1325 Mission Flats Road, Kamloops BC, British Columbia","$530,000.00",2024-02-21
Procurement Services Branch ,BC Timber Sales Branch ,Req 59496 BCTS Snowmobile Quesnel,5132351,Invitation to Quote,2024-01-31,1,2024-02-13,Make Traxx,,"$18,621.94",2024-02-21
Procurement Services Branch ,Ministry of Agriculture and Food,Req 41082 Next-generation sequencing system to support PAHB diagnostic and surveillance services,189472,Invitation to Quote,2024-02-21,0,2024-02-21,Illumina Canada,"400 - 725 Granville Street, Vancouver, British Columbia","$265,405.36",2024-02-21
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 41104 SALT DILUTION HYDROMETRIC EQUIPMENT,5131568,Invitation to Quote,2024-02-08,0,2024-02-08,"Hoskin Scientific, Ltd","3735 Myrtle St, Burnaby, British Columbia","$13,265.00",2024-02-21
BC Timber Sales Branch ,Okanagan-Columbia ,EN25TKE018 - Roadside Brushing - CZ,EN25TKE018 - TOC,Invitation to Tender,2024-01-04,1,2024-02-06,Little Big Works Revelstoke Ltd,"1051e Sandstone Road, Revelstoke, British Columbia","$162,900.00",2024-02-22
Ministry of Forests,Ministry of Forests,SU25DOS001 - Okanagan Shuswap Forest Investment Program Silviculture Surveys Project,SU25DOS001,Invitation to Tender,2024-02-01,1,2024-02-16,Forsite Consultants ,"330 42nd St SW, Salmon Arm, British Columbia","$89,875.00",2024-02-22
Ministry of Transportation and Infrastructure,South Coast Regional Office ,Hot-In-Place Recycling Courtney Area H19 and Comox Valley Parkway,17106MJ2024,Invitation to Tender,2024-01-17,1,2024-02-08,ARC ASPHALT RECYCLING INC,"681 Athabasca St W, Kamloops, British Columbia","$5,786,950.20",2024-02-22
Procurement Services Branch ,Attorney General,Req. 8668 - Ricoh fi-8040 Scanner,5134428,Invitation to Quote,2024-02-08,1,2024-02-21,Cattan Technologies Inc.,"4793 Massey Lane, Gloucester, Ontario","$76,518.00",2024-02-22
Procurement Services Branch ,Ministry of Transportation and Infrastructure, Req 245 -  CVO Self Test Transponder Product Number: 802155-447,5134518,Invitation to Quote,2024-02-22,0,2024-02-22,Kapsch TrafficCom Canada Inc.,"6020 Ambler Dr, Mississauga, Ontario","$72,700.00",2024-02-22
Liquor Distribution Branch,Liquor Distribution Branch,NOI2024-02-20B_Resolver_Perspective Software Maintenance and Support,NOI2024-02-20B,Direct Award,2024-02-09,0,2024-02-20,Resolver Inc.,"804 - 111 Peter Street
Toronto, ON M5V 2H1
Canada","$14,310.70",2024-02-23
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Professional Recreation Site Planning Services,189130,Request for Proposal,2024-02-14,0,2024-02-23,Montane Forest Consultants Ltd.,"715 Alder Avenue
100 Mile House, BC
V0K 2E0","$18,360.00",2024-02-23
Procurement Services Branch ,Ministry of Health,Req 9486 nCode Annual Maintenance and Support Renewal,5136445,Invitation to Quote,2024-02-22,0,2024-02-22,Nova Marketing Group Inc.,"1st Can Place, Toronto, Ontario","$12,784.90",2024-02-23
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,"RC252470007 - Recreation Site Maintenance, Fort Nelson - South",RC252470007,Request for Proposal,2024-02-05,0,2024-02-26,Back Country Services Ltd.,"RR1 Box 51 Mile 307.5, Fort Nelson, BC. V0C 1R0","$2,970.00",2024-02-26
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,"RC252470008 - Recreation Site Maintenance, Fort Nelson - North",RC252470008,Request for Proposal,2024-02-05,0,2024-02-26,Back Country Services Ltd.,"RR1 Box 51 Mile 307.5, Fort Nelson, BC. V0C 1R0","$7,590.00",2024-02-26
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Climate Lens for the BC Public Service,BPM097588,Direct Award,entered 2024-02-16,,    ,Vivian Forssman,"Resilience By Design Lab
Royal Roads University
2005 Sooke Road
Victoria, BC  V9B 5Y2","$1,400.00",2024-02-26
Ministry of Transportation and Infrastructure,Northern Regional Office ,Asphalt Surfacing 2024/25 H16 Witset to Nouch Rd and Smithers Area Sideroads (52.9 Lane Kms),38338MJ0000,Invitation to Tender,2024-01-24,1,2024-02-07,Emil Anderson Construction (EAC) Inc.,"966 Crowley Ave, Kelowna, British Columbia","$6,288,295.47",2024-02-26
BC Timber Sales Branch ,Strait of Georgia ,IM24TCG043 - Tree Planting Implementation and Silviculture Surveys ,IM24TCG043,Invitation to Tender,2023-12-14,0,2024-02-05,Sproat Lake Forestry Services,"10693 Tilly Dr, Port Alberni, British Columbia","$125,368.00",2024-02-27
Ministry of Transportation and Infrastructure,South Coast Regional Office ,"Asphalt Resurfacing Roads Campbell River Area: Hwy 19, Hamm Rd and Jubilee Parkway",17107MJ2024,Invitation to Tender,2024-01-25,0,2024-02-13,O.K. Industries Ltd.,"29th St 801A , Courtenay, British Columbia","$11,931,850.00",2024-02-27
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 41136 - Plastic Campsite Number Post,5131659,Invitation to Quote,2024-01-31,0,2024-02-12,BUILDGREEN Products,"1030 W Georgia St, Vancouver, British Columbia","$11,390.00",2024-02-27
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 41246 TUNGSTEN CARBIDE GRINDING JARS AND BALLS SET,5139335,Invitation to Quote,2024-02-27,0,2024-02-27,ATS Scientific Inc.,,"$8,448.17",2024-02-27
Procurement Services Branch ,Ministry of Forests,Req 59620 SEA CAN PURCHASE ,5132409,Invitation to Quote,2024-01-31,0,2024-02-13,T&F Iron Works Ltd.,"Unit 131  -1305 Welch Street, North Vancouver, British Columbia","$207,800.00",2024-02-27
Procurement Services Branch ,Ministry of Forests,Req 59869 - Sit Down FORKLIFTS (replaces portion of Opp 5131454),5134525,Invitation to Quote,2024-02-14,0,2024-02-22,Felix Technology Inc,"unit1 25 Edilcan drive, Concord, Ontario","$842,940.00",2024-02-27
Procurement Services Branch ,Ministry of Forests,Req. 59776 - FY24 MOF ATV - 1 UNIT - KAMLOOPS,5134450,Invitation to Quote,2024-02-08,0,2024-02-21,Kiwis Powersports and Marine,"Kelly Douglas Rd 1794c , Kamloops, British Columbia","$10,225.00",2024-02-27
Procurement Services Branch ,Ministry of Forests,Req 59437 Utility Trailers,189785,Invitation to Quote,2024-02-27,0,2024-02-27,Kitt Equipment Ltd,"41511 Yale Road West, Chilliwack, British Columbia","$216,000.00",2024-02-27
Procurement Services Branch ,Procurement Services Branch ,PSB Consulting Services - Unsolicited Proposals Process,CITZPSB NRQ 2024-02-06,Other: Procurement Type,entered 2024-03-05,,    ,PriceWaterhouseCoopers LLP,"525 Fort Street,, 2nd Floor,  Victoria, BC, V8W 1E8","$74,500.00",2024-02-27
Liquor Distribution Branch,Liquor Distribution Branch,High Reach Forklifts and Order Pickers,ITQ2024-01-30,Invitation to Quote,2024-01-16,1,2024-01-30,Harding Forklift Services,18623-96 Ave V4N3P6 Surrey,"$520,797.09",2024-02-28
Ministry of Social Development and Poverty Reduction,Ministry of Social Development and Poverty Reduction,Request for Proposal for Security Guard Services in Greater Vancouver Area 2,186271,Request for Proposal,2023-12-07,4,2024-01-11,Blackbird Security,"502-1001 W Broadway, Vancouver, British Columbia","$289,777.50",2024-02-28
Procurement Services Branch ,BC Timber Sales Branch ,"Req 59510 - Fabrication, delivery, and storage of 6 bridges for Quesnel",5132359,Invitation to Quote,2024-02-08,0,2024-02-21,Stinger Welding Ltd,,"$630,000.00",2024-02-28
Procurement Services Branch ,BC Timber Sales Branch ,"Req 59514 - Fabrication, delivery, and storage of 3 bridges for Quesnel",5132364,Invitation to Quote,2024-02-08,0,2024-02-21,Rapid-Span Structures Limited Partnership,"1145 Industrial Dr, Armstrong, British Columbia","$438,600.00",2024-02-28
Procurement Services Branch ,Ministry of Health, Req 9484 Microstrategy maintenance and support ,5135394,Invitation to Quote,2024-02-14,0,2024-02-15,MicroStrategy Services Corporation,"1850 Towers Cres Plaza, Tysons, Virginia ","$152,702.96",2024-02-28
BC Timber Sales Branch ,Cariboo-Chilcotin ,IM25TLH009 - Implementation of Herbaceous & Manual Brushing and Summer Fill Planting - Various Locations - Cascadia Timber Supply Area.,IM25TLH009,Invitation to Tender,2024-02-06,0,2024-02-16,Timber Trek,,"$19,200.00",2024-02-29
Ministry of Agriculture and Food,Innovation and Adaptation Services Branch ,BC Tree Fruit Domestic Marketing Plan,186954,Request for Proposal,2023-12-21,0,2024-01-19,Serecon,"1801 TD Tower, Edmonton, Alberta","$71,375.00",2024-02-29
Ministry of Agriculture and Food,Market Development and Promotion ,BC Tree Fruit Domestic Marketing Plan,186954,Request for Proposal,2023-12-21,0,2024-01-19,Serecon,"1801 TD Tower, Edmonton, Alberta","$71,375.00",2024-02-29
Ministry of Citizens' Services,Ministry of Citizens' Services,Req 9487 Akamai,5138344,Invitation to Quote,2024-02-23,0,2024-02-23,Carahsoft Canada Inc.,"7 Bayview Station Road
Ottawa, ON K1Y 2C5 Canada
","$112,418.48",2024-02-29
Procurement Services Branch ,BC Timber Sales Branch ,Req 59806 - SNOWMOBILE - 1 UNIT - WILLIAMS LAKE BCTS,5135362,Invitation to Quote,2024-02-08,0,2024-02-21,Cycle North Powersports,"5905 Gauthier Rd, Prince George, British Columbia","$20,000.00",2024-02-29
Procurement Services Branch ,Ministry of Agriculture and Food,Req 41133 - Automated Microfluidic Capillary Electrophoresis System,189931,Invitation to Quote,2024-02-29,0,2024-02-29,Agilent Technologies Canada Inc.,"6705 Millcreek Drive, Unit #5, Mississauga , Ontario","$45,174.40",2024-02-29
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 41102 Accessible Plastic Lumber Toilet Buildings,5131559,Invitation to Quote,2024-02-08,0,2024-02-21,Wishbone Site Furnishings ,,"$142,080.40",2024-02-29
Procurement Services Branch ,Ministry of Forests,Req. 59787 - FY24 MOF BOAT MOTOR - 1 UNIT - WILLIAMS LAKE,5134460,Invitation to Quote,2024-02-08,0,2024-02-21,Cascade Supply & Marine LTD,"Glenmore Rd 201-401 , Kelowna, British Columbia","$25,500.00",2024-02-29
Procurement Services Branch ,Ministry of Transportation and Infrastructure, Req 246 TSC& V2 Data Collector,5135430,Invitation to Quote,2024-02-14,0,2024-02-27,CANSEL SURVEY EQUIPMENT,"3900 NORTH FRASER WAY, BURNABY, British Columbia","$23,855.66",2024-02-29
Procurement Services Branch ,Ministry of Transportation and Infrastructure,Req 241 - Steel stanchion supports,5134484,Invitation to Quote,2024-02-13,0,2024-02-23,Tyrod Industries Ltd,"#614 1488 FOURTH AVENUE, PRINCE GEORGE, British Columbia","$86,497.44",2024-02-29
Liquor Distribution Branch,Liquor Distribution Branch,ITQ2024-02-26 Supply and Delivery of WMS Peripherals,ITQ2024-02-26,Invitation to Quote (BPS),2024-02-13,0,2024-02-26,Island Key Computer LTD,"938 Howe St, Vancouver, British Columbia","$52,809.00",2024-03-01
Procurement Services Branch ,Ministry of Forests,Req 59670 - 8'x20' ENCLOSED CARGO TRAILER,5132466,Invitation to Quote,2024-02-13,0,2024-02-26,Manac Western,", Surrey, British Columbia","$203,280.00",2024-03-01
Procurement Services Branch ,Ministry of Forests,Req 59788 SLIDE IN SERVICE BODY (2 UNITS),5134461,Invitation to Quote,2024-02-05,0,2024-02-21,INTERIOR OFFROAD EQUIPMENT LTD.,"1951 1st ave, Prince George, British Columbia","$49,800.00",2024-03-01
BC Timber Sales Branch ,Kootenay ,EN25TFH003 FSR & Bridge Implementation and Monitoring  - East Kootenay,EN25TFH003,Invitation to Tender,2024-01-29,0,2024-02-22,Maple Leaf Forestry Ltd.,"253 INDUSTRIAL RD.  #F, CRANBROOK, British Columbia","$127,750.00",2024-03-04
BC Timber Sales Branch ,Peace-Liard ,PL25TDE003 - Summer Tree Planting in the Dawson Creek TSA,PL25TDE003,Invitation to Tender,2023-12-21,4,2024-02-13,Apex Reforestation,"Box 34156 Station D, VANCOUVER, British Columbia","$1,177,066.33",2024-03-04
BC Timber Sales Branch ,Prince George ,EN25TGF003 - Mackenzie Road and Bridge Maintenance and Deactivation,EN25TGF003,Invitation to Tender,2024-01-12,2,2024-02-20,Nahanni Construction Ltd.,"7840 Hwy 16 West, Prince George, British Columbia","$266,625.00",2024-03-04
Ministry of Citizens' Services,Ministry of Citizens' Services,Sprint With Us: BC Registries and Online Services Systems Application Development Services,ON-003166-1,Request for Proposal,2022-08-29,1,2023-09-12,Industrio AI,"800 - 525 W 8th Avenue, Vancouver, BC","$226,000.00",2024-03-04
BC Timber Sales Branch ,Skeena ,SU25TII103 - 2024 Skeena Business Area Silviculture Surveys,SU25TII103,Invitation to Tender,2024-01-19,0,2024-02-14,Paramount Forestry Ltd.,"Box 2503 Smithers, British Columbia V0J 2N0","$159,851.75",2024-03-05
Procurement Services Branch ,Ministry of Forests,Req. 59653 - 8' x 14' enclosed cargo trailer,5131587,Invitation to Quote,2024-02-13,0,2024-02-23,Manac Western,", Surrey, British Columbia","$147,300.00",2024-03-05
BC Timber Sales Branch ,Prince George ,MP25TGC001MY - Multiphase Development in Prince George TSA,MP25TGC001MY,Invitation to Tender,2024-02-01,0,2024-02-29,Forsite Consultants ,"330 42nd St SW, Salmon Arm, British Columbia","$774,525.00",2024-03-06
Ministry of Transportation and Infrastructure,South Coast Regional Office ,Hwy 1 North Cowichan AT Overpass,RFP-ENG20240111,Request for Proposal,2024-01-17,2,2024-02-08,Mott MacDonald,,"$300,000.00",2024-03-06
Procurement Services Branch ,Ministry of Citizens' Services,Req 45459  Check Point 6400 x2 and related licenses,5135395,Invitation to Quote,2024-02-14,0,2024-02-27,MNP,"Suite 2200 - 1021 W Hastings Street, Vancouver, British Columbia","$121,221.78",2024-03-06
Procurement Services Branch ,Ministry of Forests,Req. 59935 - Drone,5136423,Invitation to Quote,2024-02-16,0,2024-02-27,DRONELOGICS SYSTEMS INC.,"2999 Underhill Ave, Burnaby, British Columbia","$14,899.00",2024-03-06
BC Timber Sales Branch ,Kootenay ,MP24TFH011 Total Chance Planning - East Kootenay,MP24TFH011,Invitation to Tender,2024-02-09,0,2024-02-29,Maple Leaf Forestry Ltd.,"253 INDUSTRIAL RD.  #F, CRANBROOK, British Columbia","$52,237.50",2024-03-07
BC Timber Sales Branch ,Prince George ,MP25TGC003MY - Multiphase Development in the Prince George TSA,MP25TGC003MY,Invitation to Tender,2024-02-02,1,2024-03-06,Forsite Consultants ,"330 42nd St SW, Salmon Arm, British Columbia","$664,425.00",2024-03-07
Procurement Services Branch ,Ministry of Citizens' Services,Req 45486 Layer7 API Management Bundle Offering Code L7APMX990 Authorize,190228,Invitation to Quote,2024-03-06,0,2024-03-06,Broadcom,"1320 Ridder Park Dr, San Jose, California ","$215,599.32",2024-03-07
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 41225 - Handgun Holster,5134632,Invitation to Quote,2024-02-23,0,2024-03-04,Rampart International Corp.,"2574 Sheffield Rd, Ottawa, Ontario","$17,370.00",2024-03-07
Procurement Services Branch ,Ministry of Transportation and Infrastructure,Req 250 Fixed vehicle mount for reflectometer,5136416,Invitation to Quote,2024-02-29,0,2024-02-29,Gamma Scientific Inc.,"9925 Carroll Canyon Rd, San Diego, California ","$11,071.76",2024-03-07
Procurement Services Branch ,Ministry of Transportation and Infrastructure,Req 251 Vehicle mounted radio and handheld speaker,5136419,Invitation to Quote,2024-02-20,0,2024-03-04,RadioWorks Communications,"837 BURDETT AVENUE, MAIN FLOOR, VICTORIA, British Columbia","$26,585.20",2024-03-07
BC Timber Sales Branch ,BC Timber Sales Branch ,IM25TLH007 - Spring Tree Planting Implementation - Various Locations - Quesnel Timber Supply Area,IM25TLH007,Invitation to Tender,2024-01-19,0,2024-02-01,Blue Collar Silviculture Ltd,"255 Lear Rd, Quesnel, British Columbia","$141,212.30",2024-03-08
BC Timber Sales Branch ,Cariboo-Chilcotin ,IM25TLH008 - Spring and Summer Tree Planting Implementation - Various Locations - Quesnel and Cascadia Timber Supply Areas.,IM25TLH008,Invitation to Tender,2024-01-26,0,2024-02-09,Blue Collar Silviculture Ltd,"255 Lear Rd, Quesnel, British Columbia","$97,959.00",2024-03-08
Ministry of Transportation and Infrastructure,Northern Regional Office ,Asphalt Surfacing 2024/25 Hwy 97 Chetwynd Area (65.0 Lane Km),38309MJ0000,Invitation to Tender,2024-02-02,0,2024-02-21,Peters Bros. Construction Ltd.,"716 Okanagan Avenue East , Penticton, British Columbia","$8,497,211.00",2024-03-08
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 41226 - Handgun Pistol Lights,190402,Invitation to Quote,2024-03-08,0,2024-03-08,Joint Force Tactical ,"Vedder Rd 103-5725 , Chilliwack, British Columbia","$43,200.00",2024-03-08
BC Timber Sales Branch ,BC Timber Sales Branch ,IM25TEM633 - Planting Implementation - Kamloops TSA,IM25TEM633,Invitation to Tender,2023-12-29,1,2024-01-31,Strategic Natural Resource Consultants,"Ironwood St 301-1180 , Campbell River, British Columbia","$88,613.62",2024-03-11
BC Timber Sales Branch ,Kamloops ,PL25TEM637 - Spring Tree Planting - 100 Mile House TSA,PL25TEM637,Invitation to Tender,2024-01-31,1,2024-02-28,Sitka Silviculture LTD,"4866 Bute St., Port Alberni, British Columbia","$1,064,370.51",2024-03-11
Liquor Distribution Branch,Liquor Distribution Branch,Batteries for Forklifts and Pallet Movers,RFP2024-02-13,Request for Proposal (BPS),2024-01-17,0,2024-02-13,Harding Forklift Services,"18623-96 Ave, Surrey, British Columbia","$28,500.00",2024-03-11
BC Timber Sales Branch ,BC Timber Sales Branch ,EN25TGF004 - CHAN 3000 Bridge Installation,EN25TGF004,Invitation to Tender,2024-02-06,1,2024-03-12,Nahanni Construction Ltd,Prince George,"$144,290.00",2024-03-12
BC Timber Sales Branch ,Peace-Liard ,PL25TDF003 - Summer Tree Planting in the Fort St. John Area,PL25TDF003,Invitation to Tender,2024-01-18,0,2024-02-20,Apex Reforestation,"Box 34156 Station D, VANCOUVER, British Columbia","$2,144,626.22",2024-03-12
King's Printer ,King's Printer ,C035 Signage,187324,Request for Proposal,2024-01-09,1,2024-02-05,Sherine Industries Ltd.,"113 - 19433 96 Ave, Surrey, British Columbia","$250,000.00",2024-03-12
Liquor Distribution Branch,Liquor Distribution Branch,NOI2024-02-20A Solix Software Maintenance and Support Services,NOI2024-02-20A,Direct Award,2024-02-09,0,2024-02-20,Solix Technologies Inc.,"Bldg # 20
4701 Patrick Hendry Dr
Santa Clara, CA 95054
United States","$69,438.94",2024-03-12
Liquor Distribution Branch,Liquor Distribution Branch,Power-Only Delivery Services for Liquor and Non-Liquor Products in Region 1- Metro Vancouver,RFP2024-02-05,Request for Proposal (BPS),2024-01-05,0,2024-02-05,Pacific Coast Distribution Ltd.,"27433 52 Ave, Langley Twp, British Columbia","$2,300,000.00",2024-03-12
