Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded,
Procurement Services Branch ,Ministry of Citizens' Services,205250-01 Plantronics BT600 Bluetooth Adapter,6223,Invitation to Quote,2022-08-23,0,2022-09-02,Island Key Computer LTD,Vancouver,British Columbia,Canada,"$12,800.00",2022-09-09,
Procurement Services Branch ,Ministry of Citizens' Services,Adobe Experience Manager Forms 6.5,5985,Invitation to Quote,2022-08-16,0,2022-08-24,iFathom Corp,Vancouver,British Columbia,Canada,"$89,413.80",2022-08-26,
Procurement Services Branch ,Ministry of Citizens' Services,RFP Prime Consultant-1515 Blanshard Street,ON-000620,Request for Proposal,2022-06-20,6,2022-07-29,Zeidler Architecture,Vancouver,British Columbia,Canada,"$1,772,190.00",2022-08-26,
Procurement Services Branch ,Ministry of Citizens' Services,Jira Software (Cloud) - 100 Users 24 Month Term,6581,Invitation to Quote,2022-09-01,0,2022-09-12,Highway Three Solutions Ltd.,Victoria,British Columbia,Canada,"$17,212.50",2022-09-16,
Procurement Services Branch ,Ministry of Citizens' Services,Req 43671 - POL-220049720019 - CCX 500 TEAMS Phone PoE,6239,Invitation to Quote,2022-08-24,0,2022-09-02,TELUS,,,,"$348,790.00",2022-09-12,
Procurement Services Branch ,Ministry of Citizens' Services,211204-01: Plantronics Savi 8245 Headset Wireless,6051,Invitation to Quote,2022-08-18,0,2022-08-29,ARVITA TRADE,Vancouver,British Columbia,Canada,"$201,055.00",2022-09-09,
Procurement Services Branch ,Ministry of Education and Child Care,RFP Application Management Services,2257,Request for Proposal,2022-06-22,8,2022-07-25,CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS INC.,Victoria,British Columbia,Canada,"$24,300,000.00",2022-09-16,
Ministry of Environment and Climate Change Strategy,,Monck Provincial Park Water System Design,CP23KAE006,Request for Proposal,2022-08-29,0,,ECORA ENGINEERING & RESOURCE GROUP LTD.,,,,"$51,733.62",2022-08-17,
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Small Air Monitoring Shelters - Air Program,5175,Invitation to Quote,2022-07-29,1,2022-08-15,Tropospheric Measurement Systems Inc.,Port Alberni,British Columbia,Canada,"$107,591.00",2022-08-25,
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 38427 - Fire Rings and Stands,4922,Invitation to Quote,2022-07-25,0,2022-08-08,FYPM Holdings Inc.,Maple Ridge,British Columbia,Canada,"$40,813.64",2022-08-18,
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 38482 - Grundfos Redi-Flow 2 Pumps and accessories,5430,Invitation to Quote,2022-08-04,1,2022-08-15,"Hoskin Scientific, Ltd",Burnaby,British Columbia,Canada,"$30,117.00",2022-08-17,
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,RFP for Compressed Gases,RFP 5721,Request for Proposal,2022-08-09,0,2022-09-06,Air Liquide Canada,Victoria,British Columbia,Canada,"$260,000.00",2022-09-07,
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 38425 - Concrete Vaults and Slabs for pit toilets,4641,Invitation to Quote,2022-07-21,0,2022-08-02,Tri-Kon Precast Products,Cranbrook,British Columbia,Canada,"$51,595.44",2022-08-16,
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Plastic Type 1 Campsite Posts,1990,Invitation to Quote,2022-06-10,1,2022-06-24,Wishbone Site Furnishings ,Langley,British Columbia,Canada,"$10,650.00",2022-07-12,
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Precast Type 1 Concrete Table Bases,2150,Invitation to Quote,2022-06-13,1,2022-06-24,Leko Precast Ltd,Vernon,British Columbia,Canada,"$79,570.00",2022-07-12,
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 38205 - Accessible Pit Toilet Shell packages - Various BC Locations - ***REQUOTE***,3389,Invitation to Quote,2022-07-04,0,2022-07-14,Pan-Abode International,New Westminster,British Columbia,Canada,"$230,160.00",2022-07-29,
Ministry of Forests,,Operation Of Specialized Equipment and Mechanical Services,2322,Direct Award,2022-08-03,0,,West Coast Mechanical Ltd,"West Coast Mechanical Ltd.
4 - 769 Merecroft Road
Campbell River, BC V9W 8H6",,,"$3,000.00",2022-07-25,
Ministry of Forests,,WILDFIRE RISK REDUCTION TACTICAL PLANNING AND FUEL MANAGEMENT PRESCRIPTIONS DEVELOPMENT FOR BLOWDOWN AREAS WITHIN THE SOUTH PEACE,1448,Request for Proposal,2022-06-01,2,2022-06-29,Mammoth Forestry Ltd.,"Site 14 Comp 26 RR1 Stn Main, Fort St John, British Columbia",,,"$71,500.00",2022-07-11,
Procurement Services Branch ,Ministry of Forests,Grass Seed - Erosion Control and Range Mix,3729,Invitation to Quote,2022-07-08,0,2022-07-15,Northstar Seed Ltd.,,,,"$24,020.00",2022-07-21,
Procurement Services Branch ,Ministry of Forests,Req 52600 - Fanny Packs - Red Cordura,1803,Invitation to Quote,2022-06-08,0,2022-06-21,FAST Limited,Delta,British Columbia,Canada,"$171,000.00",2022-07-13,
Procurement Services Branch ,Ministry of Forests,Req 52569 - Deployment Bags for BCWS,2166,Invitation to Quote,2022-06-14,0,2022-06-24,FAST Limited,Delta,British Columbia,Canada,"$461,250.00",2022-07-13,
Procurement Services Branch ,Ministry of Forests,"Req 53170 - Fabricate / Supply four (4) cattleguards (Houston, BC area)",4984,Invitation to Quote,2022-07-26,0,2022-08-05,Alpha Design,Merritt,British Columbia,Canada,"$55,600.00",2022-08-30,
Procurement Services Branch ,Ministry of Forests,"Req 52961 - L100 Modular Timber Decks (30) for Forestry Bridges (Mackenzie area, BC)",4926,Invitation to Quote,2022-07-25,0,2022-08-05,Toosey Old School Wood Products L.P.,,,,"$144,000.00",2022-09-16,
Procurement Services Branch ,Ministry of Forests,Req 53449 - Fabricate and Supply Embroidered Crests for BCWS,6170,Invitation to Quote,2022-08-22,0,2022-09-02,PGSG Hercules Inc,Sugar Land,Texas,United States,"$15,000.00",2022-09-21,
Procurement Services Branch ,Ministry of Forests,Req 53357 - Timber materials for bridge deck,5820,Invitation to Quote,2022-08-11,0,2022-08-22,TEAL-JONES GROUP,Surrey,British Columbia,Canada,"$60,934.83",2022-09-23,
Ministry of Health,,Pan-Canadian Pharmaceutical Alliance Transition Lead ,RFPHL2023-004,Request for Proposal,2022-07-14,0,2022-08-11,Robert Nakagawa,"39 - 3405 Plateau Blvd, Coquitlam, British Columbia",,,"$375,000.00",2022-08-30,
Ministry of Public Safety and Solicitor General and Emergency Management BC,,BUSINESS DEVELOPMENT ANALYSIS OF IMPOUNDMENT OPERATIONS UNDER THE FIREARM VIOLENCE PREVENTION ACT ,4360,Request for Proposal,2022-09-26,0,,Cascadia Partners,"420 – 1090 Homer St., Vancouver, BC, V6B 2W9",,,"$92,000.00",2022-09-15,
Procurement Services Branch ,Ministry of Social Development and Poverty Reduction,RFP Application Management Services,2257,Request for Proposal,2022-06-22,8,2022-07-25,CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS INC.,Victoria,British Columbia,Canada,"$24,300,000.00",2022-09-16,
Ministry of Transportation and Infrastructure,,"“As and When” Geotechnical Drilling for Highway Improvement, Rehabilitation, and Landslide Stabilization Projects", NR2022-ENG-01,Request for Proposal,2022-09-28,0,,Westech Drilling Corp.,"13695 Beaverley Road East
Prince George, British Columbia
V2N 6L5",,,"$3,000,000.00",2022-09-15,
Ministry of Transportation and Infrastructure,,Website Development,2786 (PTB-202201),Request for Proposal,2022-10-05,,,Weaver Digital Design and Storytelling,"350 Windermere Place, Victoria BC V8S 3J3",,,"$139,000.00",2022-08-25,
Procurement Services Branch ,Ministry of Transportation and Infrastructure,Cattle Guard Fabrication and Delivery - MoTI - Cariboo District,6492,Invitation to Quote,2022-08-30,0,2022-09-09,Alpha Design,Merritt,British Columbia,Canada,"$585,375.00",2022-09-16,
Procurement Services Branch ,Ministry of Transportation and Infrastructure,Req 76 - Sierra Wireless Airlink Token Service Packs,2592,Invitation to Quote,2022-06-20,1,2022-06-30,Ralph's Radio Ltd.,Vancouver,British Columbia,Canada,"$31,074.82",2022-07-13,
Procurement Services Branch ,Ministry of Transportation and Infrastructure,REQ 72 - Sierra Wireless Airlink Modems Model RV55  - no substitutions,1987,Invitation to Quote,2022-06-20,0,2022-06-30,Rogers for Business,Burnaby,British Columbia,Canada,"$47,043.36",2022-07-18,
North Island College,,ITB Campbell River Roofing Project,3659,Invitation to Quote,2022-08-17,,,Nelson Roofing & Sheet Metal Ltd.,"3132 Grant Road, Cumberland BC ",,,"$740,650.00",2022-08-16,
Procurement Services Branch ,OCIO Enterprise Services ,205250-01 Plantronics BT600 Bluetooth Adapter,6223,Invitation to Quote,2022-08-23,0,2022-09-02,Island Key Computer LTD,"938 Howe St, Vancouver, British Columbia",,,"$12,800.00",2022-09-09,
Procurement Services Branch ,OCIO Enterprise Services ,"11RTZ9ARUS - Lenovo Bluetooth Sound Bar Speaker - 40 W RMS - Stand Mountable, Wall Mountable SYNNEX",6048,Invitation to Quote,2022-08-18,0,2022-08-29,Microserve,"280 - 4400 Dominion St, Burnaby, British Columbia",,,"$87,352.50",2022-09-06,
Procurement Services Branch ,OCIO Enterprise Services ,Req 43671 - POL-220049720019 - CCX 500 TEAMS Phone PoE,6239,Invitation to Quote,2022-08-24,0,2022-09-02,TELUS,,,,"$348,790.00",2022-09-12,
Procurement Services Branch ,OCIO Enterprise Services ,211204-01: Plantronics Savi 8245 Headset Wireless,6051,Invitation to Quote,2022-08-18,0,2022-08-29,ARVITA TRADE,"464 - 5525 WEST BOULEVARD, VANCOUVER, British Columbia",,,"$201,055.00",2022-09-09,
Oil and Gas Commission,,Fixed Wing Aviation Services - Notice Of Intent,5747,Direct Award,2022-10-06,0,,Okanagan Mountain Helicopters LTD,PO Box 23151 Plaza 33 Kelowna BC V1X 7K7,,,"$360,000.00",2022-08-01,
Oil and Gas Commission,,Lenovo Laptops Request for Standing Offer,21123001,Request for Standing Offer (BPS),2022-07-25,0,,"Powerland, a Xerox Business Solutions Company","170 Marion St
Winnipeg, MB R2H 0T4",,,"$200,000.00",2022-07-25,
Procurement Services Branch ,Procurement and Supply Division ,Jira Software (Cloud) - 100 Users 24 Month Term,6581,Invitation to Quote,2022-09-01,0,2022-09-12,Highway Three Solutions Ltd.,Victoria,British Columbia,Canada,"$17,212.50",2022-09-16,
Procurement Services Branch ,,Supply and deliver HistoCore Autocut,Req 38670,Direct Award,2022-09-20,0,,Leica Microsystems (Canada) Inc.,"71 Four Valley Drive
Concord, ON L4K 4V8",,,"$29,596.80",2022-09-20,
Procurement Services Branch ,,Renewal of Sharegate (239),Req 43657,Direct Award,2022-09-20,0,,Insight Canada Inc,"5410 Decarie Blvd
Montreal, Quebec
H3X 4B2",,,"$10,145.02",2022-09-20,
Procurement Services Branch ,,Fabricate and Deliver Concrete Cattleguard Bases (76),Req 95,Direct Award,2022-09-27,0,,Grosso Precast & Crane Service,"4665 Collier Place, Williams Lake, BC V2G 2V5",,,"$59,600.00",2022-09-27,
Procurement Services Branch ,,Looker Analytics Software - Google ,Req 43491,Direct Award,2022-07-04,0,,Google Cloud Corporation Canada,"1959 Upper Water St, Unit 900
Halifax, NS B3J 3N2",,,"$94,548.00",2022-07-04,
Procurement Services Branch ,,Water Pitchers,PO-010333,Direct Award,2022-07-14,0,,Arvita Trade,,,,"$27,440.70",2022-07-12,
Procurement Services Branch ,,OTT Pluvio II gauges and accessories,Req 38484,Direct Award,2022-08-10,0,,Hoskins Scientific,"3735 Myrtle Street
Burnaby, British Columbia
V5C 4E7
Canada",,,"$22,618.00",2022-08-10,
Procurement Services Branch ,,Galvanized Steel Pipe,PO-010359,Direct Award,2022-08-08,0,,Atlantic Industries Limited,,,,"$412,826.45",2022-08-05,
Procurement Services Branch ,,Complete setup for Snow Water Equivelent (Gamma Radiation) Sensor excluding CSI Towers.  ,Req 38629,Direct Award,2022-09-06,0,,CAMPBELL SCIENTIFIC,"14532 131 Avenue NW
Edmonton AB T5L 4X4
",,,"$33,674.36",2022-09-06,
Procurement Services Branch ,,Salesforce Integration Services,ON-003746,Request for Proposal,2022-09-08,0,,Accenture,"510 W Georgia St Suite 2075 
Vancouver, British Columbia V6B 0M3 ",,,"$27,000,000.00",2022-08-30,
Procurement Services Branch ,,SDPR's Renewal of AccuRoute,PO-010384,Direct Award,2022-09-08,0,,"Upland Software, Inc.","401 Congress Ave Ste 1850
Austin, TX 78701-3788
United States",,,"$23,711.79",2022-09-08,
Procurement Services Branch ,,Met One E-BAM PLUS Particulate Monitors plus accessories,OPP 5910,Direct Award,2022-09-01,0,,Pacwill Environmental,"4516 Mountainview Road, Unit# 4
Beamsville ON, L3J 1T1",,,"$40,656.00",2022-09-01,
Procurement Services Branch ,,Met One E-SEQ-FRM Reference Particulate Sampler,Opp 5675,Direct Award,2022-09-01,0,,Pacwill Environmental,"4516 Mountainview Road, Unit# 4
Beamsville ON, L3J 1T1",,,"$27,276.00",2022-09-01,
Procurement Services Branch ,,Confluence (Server) 2000 Users 1 Year Renewal,5801,Direct Award,2022-09-02,0,,Carahsoft Technology Corporation,"11493 Sunset Hills Road, Ste 100
Reston, VA United States 
20191-5230",,,"$22,331.67",2022-08-31,
Procurement Services Branch ,,"Purchase, Delivery, Install of Survey Geotechnical Monitoring Equipment",Req 99,Direct Award,2022-09-13,0,,Spatial Technologies,"10 - 3671 Viking Way
Richmond, BC V6V 2J5",,,"$277,456.10",2022-09-13,
Procurement Services Branch ,,Atlassian Software,Req 43485,Direct Award,2022-08-30,0,,Highway Three Inc.,"1-1407 GOVERNMENT ST
VICTORIA BC V8W 1Z1",,,"$101,773.13",2022-08-17,
Procurement Services Branch ,,Check Point 26000 Firewall & Support (12 moth term),5825,Direct Award,2022-08-26,0,,MNP,"Suite 2200 - 1021 W Hastings Street W259-4000 SEYMOUR PL
Vancouver, BC V6E 0C3",,,"$118,349.77",2022-08-25,
Product Distribution Centre ,,InHealth Technologies Products,6010,Contract Award Notice,2022-08-17,0,2022-08-17,InHealth Canada,,,,"$12,712.50",2022-08-17,
Product Distribution Centre ,,Manfred Sauer Medical Products,5320,Contract Award Notice,2022-08-02,0,2022-08-02,Chair Stuff Sales,,,,"$152,130.32",2022-08-01,
Product Distribution Centre ,,Nestle Nutritional Products,5332,Contract Award Notice,2022-08-02,0,2022-08-02,Cardinal Health Canada,,,,"$2,049,975.29",2022-08-02,
Ministry of Transportation and Infrastructure,Provincial Field Services ,"Major Works Construction Supervision, Hwy 17, Keating Cross Road Fly Over",RFQ-16756,Single Use Request for Qualification,2022-06-16,0,2022-07-19,Tetra Tech Canada Inc.,,,,"$6,000,000.00",2022-09-28,
Provincial Health Services Authority (Incl. BCCSS),,Diacetylmorphine Hydrochloride,RX-11662-220,Direct Award,2022-10-07,0,,Pharmascience Inc,"6111 Royalmount Avenue, Suite 100
Montreal, Quebec, H4P 2T4",,,"$15,000,000.00",2022-08-01,
Provincial Health Services Authority (Incl. BCCSS),,Sunquest CoPath Expansion,PHSA20220719-01,Invitation to Quote,2022-10-05,0,,Sudden Technologies,,,,"$245,564.65",2022-07-29,
Provincial Health Services Authority (Incl. BCCSS),,PHSA Networking Equipment,PHSA20220727-01,Invitation to Quote,2022-10-05,0,,Sudden Technologies,,,,"$243,481.22",2022-09-16,
Provincial Health Services Authority (Incl. BCCSS),,KDC Wildlife Cohesity Licenses,PHSA20220829-01,Invitation to Quote,2022-10-05,0,,Sudden Technologies,,,,"$92,136.00",2022-09-28,
Provincial Health Services Authority (Incl. BCCSS),,VCH LT Backup Archive POC Project,VCH20220124-01,Invitation to Quote,2022-10-06,0,,Sudden Technologies,,,,"$529,683.32",2022-07-07,
Provincial Health Services Authority (Incl. BCCSS),,PowerStore 1000T,PHSA20220601-01,Invitation to Quote,2022-09-29,0,,Turning Point Technology Services,,,,"$219,014.37",2022-07-05,
Provincial Health Services Authority (Incl. BCCSS),,KDC TPO 7144 - KEL  Cohesity 4200 Nodes,PHSA20220615-01,Invitation to Quote,2022-09-29,0,,Sudden Technologies,,,,"$217,382.72",2022-08-02,
Provincial Health Services Authority (Incl. BCCSS),,KDC Network Core - HPE Professional Services,PHSA20220630-01,Invitation to Quote,2022-09-29,0,,Sudden Technologies,,,,"$593,984.16",2022-08-08,
Provincial Health Services Authority (Incl. BCCSS),,PowerMax Refresh,IHA20220804,Invitation to Quote,2022-09-23,0,,Sudden Technologies,,,,"$834,898.81",2022-08-26,
Provincial Health Services Authority (Incl. BCCSS),,Isilon Capacity Expansion,IHA20220805,Invitation to Quote,2022-09-23,0,,Sudden Technologies,,,,"$209,434.00",2022-08-22,
Provincial Health Services Authority (Incl. BCCSS),,ITQ PHSA 8519 - Snow Removal Services for Nelson,PHSA 8519,Invitation to Quote (BPS),2022-09-23,0,,GRM Inc. ,,,,"$207,000.00",2022-09-23,
Provincial Health Services Authority (Incl. BCCSS),,ITQ PHSA 8519 - Snow Removal Nelson,8519,Invitation to Quote,2022-09-23,0,,GRM Inc. ,N/A,,,"$207,000.00",2022-09-26,
Provincial Health Services Authority (Incl. BCCSS),,trastuzumab (Trazimera®),RX-11662-237-2022,Direct Award,2022-09-23,0,,Pfizer Canada ULC,"17300 Trans-Canada Highway, Kirkland, Quebec, H9J 2M5",,,"$306,000.00",2022-07-01,
Provincial Health Services Authority (Incl. BCCSS),,Royal Columbian Hospital Redevelopment,FHA20220721-02,Invitation to Quote,2022-09-23,0,,Sudden Technologies,,,,"$961,996.38",2022-09-20,
Provincial Health Services Authority (Incl. BCCSS),,dapagliflozin (Forxiga®),RX-11662-235-2022,Direct Award,2022-09-23,0,,AstraZeneca Canada Inc.,"1004 Middlegate Road, Mississauga, Ontario, L4Y 1M4",,,"$15,900,000.00",2022-07-01,
Provincial Health Services Authority (Incl. BCCSS),,Burnaby Hospital Redevelopment - Arista,FHA20220816-01,Invitation to Quote,2022-09-23,0,,Sudden Technologies,,,,"$627,878.06",2022-09-20,
Provincial Health Services Authority (Incl. BCCSS),,FY2122 DC Switches and Batteries Replacement,FHA20220524-01,Invitation to Quote,2022-09-22,0,,Sudden Technologies,,,,"$132,981.15",2022-08-15,
Provincial Health Services Authority (Incl. BCCSS),,Burnaby Hospital Redevelopment,FHA20220721-01,Invitation to Quote,2022-09-22,0,,Sudden Technologies,,,,"$1,704,243.20",2022-09-09,
Provincial Health Services Authority (Incl. BCCSS),,ITQ PHSA 9275 Air Compressor Replacement VIHA,PHSA 9275,Invitation to Quote,2022-09-15,0,,Service First Ltd.,,,,"$128,723.02",2022-09-15,
Provincial Health Services Authority (Incl. BCCSS),,Onboard Healthpro Contract CL02428 - Urology - Stents Ureteral,CL02428,Other: Procurement Type,2022-08-04,0,,COOK,"1 - 165 Mostart Street
Stouffville, Ontario",,,"$1,208,831.00",2022-08-04,
Provincial Health Services Authority (Incl. BCCSS),,"Onboard Healthpro Contract CL02428 - Urology - Stents, Ureteral ",CL02428,Other: Procurement Type,2022-08-04,0,,Boston Scientific,"6430 Vipond Drive
Mississauga, Ont",,,"$2,334,733.00",2022-08-04,
Provincial Health Services Authority (Incl. BCCSS),,TTM External Patient Cooling,PHSA 03995,Notice of Intent (BPS),2022-08-02,0,,Stryker Canada ULC,"8329 Eastlake Dr #101
Burnaby, BC
V5A 4W2",,,"$334,691.00",2022-07-01,
Provincial Health Services Authority (Incl. BCCSS),,PHSA 9267 Notice of Intent,3400,Notice of Intent (BPS),2022-07-28,0,,FAV COM,,,,"$100,000.00",2022-07-28,
Provincial Health Services Authority (Incl. BCCSS),,PHSA 9298 Notice of Intent,3212,Notice of Intent (BPS),2022-07-25,0,,Queo Systems Ltd,,,,"$858,066.00",2022-07-21,
Provincial Health Services Authority (Incl. BCCSS),,Spectra Optia Apheresis System,PHSA 8158,Notice of Intent (BPS),2022-07-19,0,,Terumo Medical Canada Inc,"Terumo BCT (Canada), Inc.
4 Robert Speck Pkwy, Suite 1500
Toronto, Ontario
L4Z 1S1",,,"$408,000.00",2022-07-19,
Provincial Health Services Authority (Incl. BCCSS),,ISCV Software Maintenance Renewal,PHSA 8460,Notice of Intent (BPS),2022-07-12,0,,Philips Healthcare Canada,"281 Hillmount Rd, Markam, ON L6C 2S3",,,"$216,394.00",2022-07-04,
Provincial Health Services Authority (Incl. BCCSS),,RFP PHSA 03804 Anesthesia Information Management System,PHSA 03804,Request for Proposal,2022-07-05,0,,"Picis Clinical Solutions, Inc.","Picis Clinical Solutions, Inc.
100 Quannapowitt Parkway,
Suite 405
Wakefield, MA 01880. U.S.A",,,"$4,153,280.00",2022-07-04,
Provincial Health Services Authority (Incl. BCCSS),,PHSA 9166 Cyclotron - High Pressure Liquid Chromatography HPLC annual service contract,2061,Notice of Intent (BPS),2022-07-07,0,,Agilent Technologies Canada Inc.,"6705 Millcreek Drive, Unit 5
Mississauga, Ontario L5N 5M4",,,"$91,129.00",2022-07-07,
Provincial Health Services Authority (Incl. BCCSS),,Women's Health Surgical Instruments,9270,Notice of Intent (BPS),2022-08-18,0,,"CooperSurgical,  Inc.","95 Corporate Drive
Trumbull  CT  06611 U.S.A.",,,"$275,660.00",2022-08-02,
Provincial Health Services Authority (Incl. BCCSS),,Onboard HealthPro CL02432 Urology - Stone Retrieval Devices,CL02432,Other: Procurement Type,2022-08-09,0,,Boston Scientific,"6430 Vipond Drive
Mississauga, Ontario",,,"$1,935,372.00",2022-08-09,
Provincial Health Services Authority (Incl. BCCSS),,Onboard HealthPro CL02432 Urology - Stone Retrieval Devices,CL02432,Other: Procurement Type,2022-08-09,0,,COOK,"1 - 165 Mostar Street
Stouffville, Ontario",,,"$1,331,976.00",2022-08-09,
Provincial Health Services Authority (Incl. BCCSS),,Alcon Vitrectomy Custom Packs,PHSA 04027,Direct Award,2022-08-08,0,,Alcon Canada Inc.,"2665 Meadowpine Boulevard
Mississauga, Ontario
L5N 8C7",,,"$3,270,000.00",2022-08-08,
Provincial Health Services Authority (Incl. BCCSS),,"Onboard to HealthPro CL02431 Urology - Sheaths, Catheters, Dilators & Balloons",CL02431,Other: Procurement Type,2022-08-08,0,,COOK,"1 - 165 Mostart Street
Stouffville, Ontario",,,"$3,470,331.00",2022-08-08,
Provincial Health Services Authority (Incl. BCCSS),,"Onboard to HealthPro CL02431 Urology - Sheaths, Catheters, Dilators & Balloons",CL02431,Other: Procurement Type,2022-08-08,0,,Boston Scientific,"6430 Vipond Drive
Mississauga, Ontario",,,"$1,453,272.00",2022-08-08,
Provincial Health Services Authority (Incl. BCCSS),,Onboard HealthPro Contract CL02430 - Urology - Guidewires,CL02430,Other: Procurement Type,2022-08-04,0,,Boston Scientific,"6430 Vipond Drive
Mississauga",,,"$1,454,646.00",2022-08-04,
Provincial Health Services Authority (Incl. BCCSS),,Onboard HealthPro Contract CL03900MC - Skin Closure Strips,CL03900,Other: Procurement Type,2022-08-11,0,,3M Canada Company,"300 Tartan Drive
London, Ontario
N5G 4MP",,,"$2,500,000.00",2022-07-21,
Provincial Health Services Authority (Incl. BCCSS),,"Onboard HealthPro Contract CL05256MC - Tapes, Medical Surgical ",CL05256,Other: Procurement Type,2022-08-11,0,,3M Canada Company,"300 Tartan Drive
London, Ontario
N5G 4MP",,,"$7,060,000.00",2022-07-18,
Provincial Health Services Authority (Incl. BCCSS),,filgrastim (Nivestym™),RX-11662-228-2022,Direct Award,2022-08-15,0,,Pfizer Canada ULC,"17300 Trans-Canada Highway
Kirkland, Quebec
H9J 2M5",,,"$2,300,000.00",2022-07-01,
Provincial Health Services Authority (Incl. BCCSS),,"Zoom Video Communications, Inc",PHSA 7945,Notice of Intent (BPS),2022-08-23,0,,"Zoom Video Communications , Inc","600-55 Almaden Boulevard, San Jose, CA 95113",,,"$265,005.00",2022-08-12,
Provincial Health Services Authority (Incl. BCCSS),,TTM External Patient Cooling,PHSA 03992,Direct Award,2022-08-26,0,,Bard Canada,"2100 Derry Road West Suite 100
Mississauga, Ontario",,,"$1,550,000.00",2022-08-26,
Provincial Health Services Authority (Incl. BCCSS),,trastuzumab (Herzuma®),RX-11662-238-2022,Direct Award,2022-09-13,0,,Teva Canada Innovation G.P.-S.E.N.C.,"1200 - 1080 Côte du Beaver Hall, Montreal, Quebec, H2Z 1S8",,,"$59,500,000.00",2022-07-01,
Provincial Health Services Authority (Incl. BCCSS),,bevacizumab (Aybintio®),RX-11662-231-2022,Direct Award,2022-09-13,0,,Organon Canada Inc.,"16766 Trans Canada Highway #300, Kirkland, Quebec, H9H 4M7",,,"$184,000.00",2022-09-01,
Provincial Health Services Authority (Incl. BCCSS),,Women's Health Surgical Instruments,PHSA 9360,Notice of Intent (BPS),2022-09-12,0,,AMT Electrosurgery Inc.,"16-20 Steckle Place
Kitchener  ON  N2E 2C3",,,"$1,160,145.00",2022-08-01,
Provincial Health Services Authority (Incl. BCCSS),,dinutuximab (Unituxin®),RX-11662-227-2022,Direct Award,2022-09-12,0,,United Therapeutics Corporation,"1040 Spring Street, Silver Spring, Maryland 20910",,,"$13,300,000.00",2022-07-01,
Provincial Health Services Authority (Incl. BCCSS),,PHSA 03383 DDC Maintenance Service Program on the Building Automation System,PHSA 03383,Notice of Intent (BPS),2022-09-08,0,,ESC Automation Inc,"5265 185A St.
Surrey, BC  
V3S 7A4 
",,,"$2,334,190.00",2022-09-08,
Regional District of Central Okanagan,,WRWWTP Asset Management Plan,R22-709,Request for Proposal,2022-08-27,0,,AECOM Canada Ltd.,,,,"$100,000.00",2022-07-05,
Regional District of Central Okanagan,,Cedars Bridge & Vicinity Emergency Abutment Repairs,R22-744,Request for Proposal,2022-08-27,0,,Flury Earthworks Ltd,,,,"$123,470.00",2022-08-09,
Regional District of Central Okanagan,,Supply of Park Furniture Items (RFSO),RFP# R22-734,Request for Proposal,2022-08-27,0,,ROLLINS MACHINERY,,,,$0.00,2022-07-31,
Procurement Services Branch ,Regional Operations  ,Cattle Guard Fabrication and Delivery - MoTI - Cariboo District,6492,Invitation to Quote,2022-08-30,0,2022-09-09,Alpha Design,"2795 Pooley Ave, Merritt, British Columbia",,,"$585,375.00",2022-09-16,
Procurement Services Branch ,Regional Operations - Kootenay Boundary ,Req 53357 - Timber materials for bridge deck,5820,Invitation to Quote,2022-08-11,0,2022-08-22,TEAL-JONES GROUP,"17897 Triggs Road, Surrey, British Columbia",,,"$60,934.83",2022-09-23,
Simon Fraser University,,Consulting services (Change Manager) to support the Research Enterprise Program,N/A,Direct Award,2022-09-08,0,,S.i. Systems Partnership,,,,"$141,120.00",2022-09-08,
Simon Fraser University,,RDa Mass Spectrometer,n/a,Direct Award,2022-08-04,0,,Waters Limited,"232  Britannia  Road  East
Mississauga,  ON
L4Z  1S6
",,,"$163,520.00",2022-07-04,
Simon Fraser University,,Smart Industrial Automation Training System,SFU 2022-ES-314,Notice of Intent (BPS),2022-07-12,0,,Alpha Educational & Technological,"Unit 112, 930 – 3025 Lougheed HWY, Coquitlam, BC, V3B 6S2, Canada",,,"$623,469.00",2022-07-12,
University of British Columbia,,Trenchless Repair,2022010085,Request for Tenders (BPS),2022-08-17,0,,Superior City Services Ltd.,,,,"$131,850.00",2022-08-17,
University of British Columbia,,Mechanical Contractor for District Energy Valve installations,2022010026,Request for Tenders (BPS),2022-08-31,0,,Division 15 Mechanical Ltd. ,6190 Agronomy Road,,,"$559,550.00",2022-08-31,
University of British Columbia,,Motion Enabled Training Simulator,2022010066,Notice of Intent (BPS),2022-08-29,0,,CMLabs Simulations Inc,6190 Agronomy Road,,,"$170,456.00",2022-08-29,
